#OTU ID,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Peptostreptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_sp.,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_parasanguinis,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Parvimonas,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ruminococcus_torques_group; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__Eubacterium_coprostanoligenes_group;,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__uncultured_bacterium,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__uncultured_organism,d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium
27AP,146,507,1923,0,0,1171,1739,690,0,796,20,0,0,0,14514,2463,1120,3969,0
28AP,12,0,629,0,0,4854,898,612,0,677,0,0,0,0,19875,1328,237,3704,0
29AP,26,333,1870,0,0,4478,1045,157,0,683,0,0,0,0,20086,3489,529,5680,0
30AP,158,420,1261,0,0,1647,757,230,0,527,87,0,0,0,20538,562,742,146,49
31AP,51,830,1644,0,0,0,2494,0,0,266,96,0,0,0,876,1812,1617,18409,115
32AP,115,102,1090,1,0,0,2250,1330,0,781,108,0,0,0,7354,1157,1009,1125,10
33AP,4,0,423,1,0,0,32,776,0,288,0,0,0,0,876,17,19,146,0
34AP,18,480,1661,0,0,128,787,0,0,326,214,0,0,0,9662,1094,919,1582,68
35AP,240,22,11,0,0,0,1468,781,0,602,931,0,0,0,10661,17,708,196,347
36AP,497,1317,2351,0,0,3266,3863,604,0,911,2582,0,0,0,40608,3273,1617,11717,668
37AP,360,607,1579,0,0,0,4064,1318,0,920,623,0,0,0,14189,2506,1617,7290,287
38AP,4,0,11,0,0,0,1802,2422,0,804,0,0,0,0,876,17,377,146,114
39AP,99,0,11,0,0,3953,351,0,0,31,191,0,0,0,17780,609,0,1310,55
40AP,530,1667,2351,0,0,6222,3762,458,0,924,809,0,0,0,45797,3945,1617,5256,33
41AP,43,0,266,1,0,0,940,0,0,31,261,0,0,0,876,17,404,146,743
42AP,14,0,341,0,0,24,1878,1970,0,363,460,0,0,0,4903,75,513,146,207
43AP,523,668,1751,0,0,0,3925,425,0,713,514,0,0,0,18049,1706,1617,3308,112
44AP,319,1506,2351,0,0,0,4064,1282,0,924,752,0,0,0,19375,3945,1617,17194,106
45AP,4,0,11,0,0,0,594,1313,0,616,0,0,0,0,876,17,195,4214,58
46AP,201,823,2160,0,0,0,4045,966,0,754,222,0,0,0,16755,3103,1617,5767,104
47AP,468,1667,2351,0,0,2862,4064,231,0,811,749,0,0,0,45797,3945,1617,478,61
48AP,85,0,11,0,0,46,735,2003,0,683,106,0,0,0,7757,223,353,146,16
49AP,181,210,1231,0,0,1347,1700,1817,0,924,268,0,0,0,21404,2219,1320,1659,0
50AP,60,131,589,5,0,0,687,1279,0,578,0,0,0,0,876,17,580,146,0
51AP,506,1187,2213,0,0,1081,4064,785,0,902,1419,0,0,0,27462,3622,1617,8095,171
52AP,130,81,241,0,0,0,1782,0,0,31,645,0,0,0,8674,670,881,5266,292
0CRC,139,0,640,165,0,0,2629,2592,0,1965,447,0,0,0,14856,1743,572,0,34
1CRC,0,229,4761,193,0,0,5470,6165,1,2556,65,0,0,1,29593,829,851,2316,48
2CRC,0,40,5100,37,0,595,3164,2282,1,1671,176,0,0,1,26220,0,1227,1670,0
3CRC,495,4449,1594,0,0,926,374,0,0,0,540,0,0,0,12790,2501,840,8408,0
4CRC,260,1507,0,0,0,711,86,0,0,444,0,0,0,0,1239,4065,0,8847,0
5CRC,68,457,1527,0,0,1351,4635,1238,0,1715,169,0,0,0,14827,2454,1362,842,0
6CRC,137,0,127,22,0,1023,2388,0,0,0,0,0,0,0,1239,0,635,1335,26
7CRC,69,910,181,54,0,2693,86,0,0,439,89,0,0,0,1239,1994,799,6587,0
8CRC,0,4097,2350,0,0,0,4241,11530,0,15603,0,0,0,0,53587,10601,783,3202,31
9CRC,14,558,485,0,0,1201,1499,925,0,1211,198,0,0,0,1239,2325,727,5715,0
10CRC,0,0,2100,28,0,0,4208,7379,2,3519,2,0,0,1,27925,2280,1236,0,0
11CRC,0,0,0,38,0,0,1714,2309,0,605,0,0,0,0,3978,1292,0,0,50
12CRC,132,829,403,0,0,1990,672,0,0,1647,0,0,0,0,9739,6422,1081,10170,0
13CRC,52,25,0,0,0,1460,86,0,0,14,52,0,0,0,2823,1203,204,0,0
14CRC,150,645,1878,0,0,0,2944,1172,1,465,127,0,0,0,22199,0,0,11564,59
15CRC,0,8,0,35,0,0,255,0,0,109,3,0,0,1,6965,2054,45,3582,0
16CRC,151,0,325,121,0,413,2739,259,0,395,486,0,0,0,8597,1082,1364,0,13
17CRC,82,758,583,0,0,0,5234,1794,1,2518,156,0,0,2,18518,2955,1484,6222,0
18CRC,0,0,206,30,0,0,1152,1132,1,1119,0,0,0,0,5596,2929,0,7166,41
19CRC,1043,5231,4949,0,0,10143,2445,0,0,1775,1111,0,0,1,24799,3341,5707,5444,0
20CRC,0,594,1305,59,0,0,86,0,1,0,109,0,0,3,15236,0,209,4070,0
21CRC,75,489,355,20,0,0,7111,2731,0,3710,0,0,0,0,2110,843,2156,344,3
22CRC,78,3004,4254,0,0,0,2508,2651,0,1139,75,0,0,0,22119,0,399,1202,1
23CRC,89,431,0,0,0,0,3700,3270,1,1802,0,0,0,2,31185,7577,1387,2013,0
24CRC,0,230,1835,20,0,0,3692,2401,0,3694,59,0,0,0,17315,2377,991,873,30
